ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,weather
was,What
zu,to
er,he
ein,a
in,in
ja,Yes
mir,me
mit,with
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,Has
hier,here
haben,to have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,your
nein,no
habe,have
an,at
bin,am
noch,still
nur,only
da,there
dir,to you
sich,themselves
einen,a
uns,US
hast,have
dem,to the
kann,can
gut,Well
auch,even
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,the end
meine,my
um,around
im,in the
wird,will
mein,my
bist,are you
doch,but
alles,All
weiß,White
keine,no
oder,or
nach,after
s,s
nichts,nothing
man,one
muss,got to
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,some
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,before
los,Come on
können,can
wieder,again
sagen,to say
machen,do
danke,thanks
sehr,very
alle,Everyone
denn,because
mann,man
tun,to do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,their
diese,these
euch,you
einer,a
komm,come over
über,above
gibt,gives
okay,OK
wissen,to know
deine,yours
müssen,have to
soll,target
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,path
würde,would
tut,does
am,at the
des,of
einfach,simple
leben,Life
hatte,would have
zeit,Time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,in order to
ganz,quite
wäre,were
wollte,wanted to
weißt,whisper
ok,OK
sicher,for sure
gesagt,said
frau,Mrs
nun,well
bis,until
wurde,became
leid,suffering
na,n / A
kannst,can
macht,power
dieser,this
zurück,return
lassen,permit
hallo,Hello
meinen,say
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,precisely
waren,was
zur,to the
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,Nice
glaube,faith
mr.,mr.
ab,away
gerade,just
tag,Day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,by
ob,if
keinen,none
mutter,mother
raus,Out
gemacht,made
paar,pair
mach,make up
passiert,happened
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,self
gehört,heard
möchte,would like to
ohne,without
hör,hear
her,on
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
finden,Find
diesen,this
gute,quality
wirst,become
lange,Long
natürlich,Naturally
ach,Oh
meinem,my
gar,at all
ins,into the
sei,may be
dort,there
weiter,Further
geben,give
seit,since
gleich,same
sagt,says
recht,Law
ihren,their
richtig,correct
ordnung,order
vom,from the
hören,hear
sieht,sees
davon,of that
dafür,Therefore
geh,go
diesem,This
wegen,because
hause,home
sollten,should
mädchen,girl
hin,there
sollen,should
abend,evening
haus,House
denke,think
viele,many
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,make
menschen,people
essen,eat
angst,anxiety
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,did
darf,allowed
erst,first
rein,pure
stimmt,Right
nehmen,to take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,crap
brauchen,to need
gegen,against
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,job
seid,are
ihrer,of their
fragen,ask
herr,Mr
dabei,included
heißt,called
familie,family
warten,wait
niemand,nobody
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,when
brauche,need
fertig,done
halt,stop
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,Thing
hilfe,help
verdammt,Damn it
ne,ne
jeder,everyone
warst,wicked
gern,gladly
konnte,could
darüber,about that
halten,keep
siehst,see
verstehe,understand
jahren,Years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,to
bruder,brothers
daran,to it
ihrem,Yours
denken,think
könnten,could
dank,thanks to
würden,would
lieber,rather
fall,case
deiner,yours
sehe,see
egal,no matter
kennen,know
deinem,your
vergessen,forget
frage,question
mache,make
komme,come
sage,legend
mag,like
sieh,look
echt,real
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,clock
stadt,city
männer,men
baby,infant
fahren,travel
namen,name
bekommen,receive
kopf,head
hi,Hi
gehe,go
kleine,small
später,later
glück,happiness
letzte,last
freunde,friends
n,n
all,Alles
darauf,thereon
ende,end
dr.,Dr.
bald,soon
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,die
hätten,have
draußen,outdoors
kenne,know
fast,nearly
runter,down
vorbei,past
treffen,meet
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,Mom
verrückt,crazy
neue,new
ging,went
hinter,Behind
sorgen,care for
einzige,only one
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,quite
solltest,ward
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,Looking for
finde,find
je,ever
woher,where
lang,long
job,job
keiner,none
seinem,his
hört,hearing
verstehen,to understand
spielen,to play
s.,S.
überhaupt,at all
teufel,Devil
verstanden,Understood
verloren,lost
große,size
hand,hand
grund,reason
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,try
art,kind
letzten,last
schatz,sweetheart
endlich,at last
he,head
nimm,take
etwa,approximately
erzählt,told
läuft,runs
schwer,heavy
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,to fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,Which
bestimmt,certainly
hoch,high
alter,age
sagst,tell
schau,look
ah,Ah
land,country
zimmer,room
wagen,dare
vier,four
gefallen,please
spaß,fun
niemals,No way
schuld,blame
getötet,killed
wollten,wanted to
verlassen,leaving
zeigen,demonstrate
beste,best
ernst,serious
unserer,our
denen,to them
ort,location
bleibt,remain
würdest,thought
manchmal,sometimes
glaubst,believe
seite,page
lasst,leaves
zwischen,between
eben,just
während,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefällt,pleases
kleinen,small
erzählen,tell
anderes,other
tage,day
entschuldigen,to apologize
wichtig,important
gehst,go
allen,all
bett,bed
mrs.,MRS.
sachen,Things
the,the
schlecht,bad
schule,school
entschuldigung,Excuse me
wort,word
john,John
hättest,had
wären,be
typ,Type
schlafen,sleep
äh,Ah
tu,tu
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,person
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,tu
trinken,to drink
einige,some
dies,this
ding,thing
unseren,Our
kriegen,get
blut,blood
ehrlich,honest
eltern,parents
scheint,appears
herz,heart
jack,Jack
glücklich,happy
alte,old
alt,old
bleib,stay
wiedersehen,reunion
frei,free
wen,whom
drauf,on it
möglich,possible
irgendwie,somehow
reicht,enough
fest,fixed
besten,best
waffe,weapon
kaum,barely
irgendwas,anything
klingt,sound
platz,place
brauchst,need
rede,speech
papa,father
falsch,not correct
sondern,but
alten,old
nummer,number
früher,previously
jungen,boys
wohin,where
außer,except
früh,early
setzen,set
zuerst,first
wahrscheinlich,probably
dürfen,to be allowed to
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,save
hierher,here
wär,would be
bring,bring
fehler,failure
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,lot
langsam,slow
bereits,already
wartet,wait
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,giving
wochen,weekly
ruf,call
schaffen,create
leider,Unfortunately
scheiß,shit
hölle,hell
trotzdem,despite this
doktor,doctor
tja,well
new,New
voll,fully
film,Movie
überall,all over
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
könig,king
danach,thereafter
funktioniert,functions
hattest,had
lernen,to learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,Fire
laufen,to run
alleine,alone
erinnern,recall
völlig,fully
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I
entschuldige,Excuse me
ziehen,draw
verschwinden,disappear
könntest,could
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,ours
suche,seek
zwar,though
groß,great
hol,hold
buch,a book
krank,ill
fühle,feel
jedes,each
verstehst,understand
wert,value
arzt,doctor
froh,joyful
versuche,try
straße,Street
rufen,call
heiraten,marry
super,Super
sam,sam
lebt,lives
gutes,good
lasse,laser
onkel,uncle
total,total
gebracht,brought
party,party
erklären,explain
spielt,play
wahl,choice
vertrauen,to trust
damals,back then
tagen,days
leicht,easy
nachdem,after this
gegangen,went
gefühl,feeling
kaufen,to buy
geschafft,made
typen,types
interessiert,Interested
möchten,want
halte,hold
hält,hold
glaub,belie
irgendwo,somewhere
stück,piece
genauso,just like that
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,sky
nachricht,news
drüben,over there
passt,fits
sagten,told
kümmern,To take care of
laut,according to
vergiss,forget
angerufen,called
sitzen,sit
daß,that
erde,Earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,jail
opfer,victim
körper,body
solche,such
mist,damn
mr,mr
findet,find
schreiben,to write
böse,angry
gesprochen,spoken
versuch,attempt
vorstellen,introduce
wovon,About what
sobald,as soon as
nochmal,once again
herren,Men's
sex,sex
waffen,weapons
wohnung,apartment
weh,sore
heißen,mean
krankenhaus,hospital
bringe,bring
höre,hear
millionen,millions
klasse,Great
hart,hard
worden,has been
sinn,sense
außerdem,aside from that
verletzt,hurt
ändern,change
erfahren,Experienced
tragen,wear
wenigstens,at least
vorsichtig,carefully
daddy,daddy
stolz,proud
stark,strong
fällt,fall
möchtest,want
leuten,people
besonders,particularly
schöne,lovely
schicken,send
person,person
schätze,treasures
solange,so long
länger,longer
großartig,Great
lacht,laugh
anrufen,call
stand,was standing
redest,talk
fühlen,feel
erwartet,expected
boden,floor
boss,boss
stimme,voice
glaubt,believe
still,quiet
sicherheit,safety
setz,sitting
ma,ma
mund,mouth
kämpfen,battle
wisst,scoff
lachen,laugh
hörst,hear
zeug,things
lustig,fun
umbringen,kill
sollst,shorter
hasse,hate
schlimm,terrible
o,O
unglaublich,incredible
wärst,be
laden,load
führen,to lead
gestorben,died
schauen,look
meinung,opinion
lesen,read
mörder,murderer
frank,frank
ähm,um
geschehen,happen
geschäft,shop
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,mike
aufs,onto
york,York
vorher,before
schluss,Enough
schneller,more quickly
liebt,loving
verdient,deserved
mögen,to like
meisten,most
denk,think
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile
hinten,rear
monate,months
erinnere,recall
acht,eight
arbeitet,is working
fallen,fall
rufe,call
nötig,necessary
a,a
mord,murder
heraus,out
tages,day
unmöglich,not possible
liebling,Darling
charlie,Charlie
tatsächlich,In fact
folgen,follow
bitten,ask
behalten,keep
nähe,vicinity
arbeite,work
joe,joe
verdammte,damn
plötzlich,suddenly
lebens,life
hole,go
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,lie
verkaufen,Selling
gefährlich,dangerous
anfangen,begin
bekommt,receives
machte,bother
ha,Ha
hotel,hotel
hilft,help
werdet,become
meister,master
kampf,struggle
antwort,answer
konnten,could
geschickt,sent
jedem,each
obwohl,although
sieben,seven
komisch,funny
gewinnen,to win
ihres,Yours
bezahlt,paid
you,you
voller,full of
unterwegs,On the way
dumm,stupid
ärger,trouble
bild,image
george,George
neu,New
bezahlen,pay
dagegen,against it
seien,be
starb,died
